airport_code,city,state,metro_area,facility_name,longitude,latitude,air_service,cbsa_code,cbsa_type
ABE,Allentown,PA,Allentown-Bethlehem-Easton PA-NJ,Lehigh Valley International,-75.4404,40.652359999999994,1,10900.0,1
ABI,Abilene,TX,Abilene TX,Abilene Regional,-99.6819,32.41132,1,10180.0,1
ABL,Ambler,AK,,Ambler,-157.85747,67.10631,1,,0
ABQ,Albuquerque,NM,Albuquerque NM,Albuquerque Intl Sunport,-106.60918999999998,35.04022,1,10740.0,1
ABR,Aberdeen,SD,Aberdeen SD,Aberdeen Regional,-98.42183,45.449059999999996,1,10100.0,2
ABY,Albany,GA,Albany GA,Southwest Georgia Regional,-84.19447,31.53552,1,10500.0,1
ACK,Nantucket,MA,,Nantucket Memorial,-70.06018,41.25305,1,,0
ACT,Waco,TX,Waco TX,Waco Regional,-97.23052,31.611290000000004,1,47380.0,1
ACV,McKinleyville,CA,Eureka-Arcata-Fortuna CA,Arcata/Eureka,-124.10862,40.978120000000004,1,21700.0,2
ACY,Atlantic City (Egg Harbor Twp),NJ,Atlantic City-Hammonton NJ,Atlantic City Intl,-74.57717,39.45758,1,12100.0,1
ADK,Adak Island,AK,,Adak,-176.64603,51.877959999999995,1,,0
AET,Allakaket,AK,,New Allakaket,-152.62216,66.55181999999999,1,,0
AEX,Alexandria,LA,Alexandria LA,Alexandria Intl,-92.54856,31.327370000000002,1,10780.0,1
AGN,Angoon,AK,,Angoon,-134.58508999999998,57.50356,1,,0
AGS,Augusta,GA,Augusta-Richmond County GA-SC,Augusta Regional,-81.9645,33.36994,1,12260.0,1
AHN,Athens,GA,Athens-Clarke County GA,Athens/Ben Epps,-83.32635,33.9486,1,12020.0,1
AIA,Alliance,NE,,Alliance Municipal,-102.80377,42.05323,1,,0
AIN,Wainwright,AK,,Wainwright,-159.99475,70.638,1,,0
AKB,Atka,AK,,Atka,-174.20635,52.22035,1,,0
AKI,Akiak,AK,,Akiak,-161.23058,60.90289,1,,0
AKK,Akhihok,AK,,Akhiok,-154.18256,56.93869,1,,0
AKN,King Salmon,AK,,King Salmon,-156.64921999999999,58.6768,1,,0
