"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Alpine","WY","","",-111.021764,43.121597,3,,0,
"","Jackson","WY","Jackson WY-ID","",-110.798453,43.482949,0,27220,2,
"","Evanston","WY","Evanston WY","Kiks Chevron",-110.958000,41.263400,3,21740,2,
"","Rock Springs","WY","Rock Springs WY","Greyhound Bus Station",-109.264000,41.575600,0,40540,2,
"","Buffalo","WY","","Kum & Go",-106.691000,44.354200,3,,0,
"","Sheridan","WY","Sheridan WY","Red Eagle Food Store",-106.938290,44.773660,0,43260,2,
"","Gillette","WY","Gillette WY","Shell Food Mart",-105.503822,44.293180,0,23940,2,
"","Douglas","WY","","Conoco",-105.400665,42.763027,3,,0,
"","Casper","WY","Casper WY","",-106.325150,42.856552,0,16220,1,
"","Rawlins","WY","","",-107.224394,41.776202,3,,0,
"","Wheatland","WY","","I-25 Conoco",-104.968000,42.046600,3,,0,
"","Laramie","WY","Laramie WY","Ramada Inn",-105.593254,41.295177,0,29660,2,
"","Cheyenne","WY","Cheyenne WY","Rodeway Inn",-104.837000,41.166600,0,16940,1,
"","Sutton","WV","","Llyods Shell",-80.658990,38.705235,3,,0,
"","Fairmont","WV","Fairmont WV","",-80.134926,39.474580,3,21900,2,
"","Morgantown","WV","Morgantown WV","",-79.963406,39.655574,0,34060,1,
"","Westover","WV","Morgantown WV","",-79.974280,39.632458,0,34060,1,
"","Weston","WV","","",-80.418616,39.021203,3,,0,
"","Clarksburg","WV","Clarksburg WV","",-80.376420,39.267014,0,17220,2,
"","Clarksburg Bridgeport","WV","Clarksburg WV","Kroger",-80.277770,39.280300,0,17220,2,
"","Parkersburg","WV","Parkersburg-Vienna WV","Marathon Gas",-81.518450,39.227725,0,37620,1,
"","Wheeling","WV","Wheeling WV-OH","",-80.722510,40.067160,3,48540,1,
"","Wheeling","WV","Wheeling WV-OH","",-80.724675,40.070633,3,48540,1,
"","Hinton","WV","","Amtrak Station",-80.888630,37.677070,3,,0,
"","Thurmond","WV","Beckley WV","Amtrak Station",-81.078060,37.956670,0,13220,1,
"","Prince","WV","Beckley WV","Amtrak Station",-81.054220,37.858710,0,13220,1,
"","Beckley","WV","Beckley WV","",-81.180310,37.778954,0,13220,1,
"","Huntington","WV","Huntington-Ashland WV-KY-OH","Greyhound Bus Station",-82.438000,38.421600,0,26580,1,
"","Huntington","WV","Huntington-Ashland WV-KY-OH","Amtrak Station",-82.440840,38.415410,0,26580,1,
"","Harpers Ferry","WV","Washington-Arlington-Alexandria DC-VA-MD-WV","Amtrak Station",-77.733560,39.325040,0,47900,1,
"","Harpers Ferry","WV","Washington-Arlington-Alexandria DC-VA-MD-WV","Amtrak Station",-77.733560,39.325040,0,47900,1,
"","Duffields","WV","Washington-Arlington-Alexandria DC-VA-MD-WV","MARC Station",-77.826810,39.362230,0,47900,1,
"","Martinsburg","WV","Hagerstown-Martinsburg MD-WV","Amtrak/MARC Station",-77.961500,39.458270,0,25180,1,
"","Martinsburg","WV","Hagerstown-Martinsburg MD-WV","Amtrak/MARC Station",-77.961500,39.458270,0,25180,1,
"","Charleston","WV","Charleston WV","Amtrak Station",-81.646720,38.351990,0,16620,1,
"","Charleston","WV","Charleston WV","Greyhound Bus Station",-81.640000,38.356400,0,16620,1,
"","Ripley","WV","","Fratellos Italian Restaurant",-81.696500,38.768600,3,,0,
"","Montgomery","WV","Beckley WV","Amtrak Station",-81.324070,38.180700,0,13220,1,
